sku,brand,name,price_brl,catalog_page
DS024,Dermosex Mature,"Água Refrescante Corporal Dermosex - 100ml",69.8,None
DS021,Dermosex Mature,"Creme Corporal Super Hidratante- Dermosex - 220g",79.8,None
DS022,Dermosex Mature,"Sérum Íntimo Concentrado Hidratante Dermosex - 15ml",154.0,None
DS006,Dermosex,"Sabonete Líquido Íntimo para Região Anal Dermosex - 200 ml",56.8,None
DS009,Dermosex,"Sabonete Íntimo em Barra Hidratante Dermosex - 90g",29.8,None
DS005,Dermosex,"Espuma Higienizadora Íntima Dermosex- 50ml",75.8,None
DS018,Dermosex,"Sabonete Intimo Hidratante Feminino Dermosex - 210ml",69.8,None
DS019,Dermosex,"Sabonete íntimo HIdratante Masculino Dermosex - 210ml",72.8,None
DS002,Dermosex,"Esfoliante Hidratante para Região Pélvica Dermosex - 120ml",79.8,None
DS004,Dermosex,"Creme Clareador para Virilha Dermosex - 60g",65.8,None
DS001,Dermosex,"Creme Hidratante para Região Pélvica Dermosex - 60g",69.8,None
DS007,Dermosex,"Gel Lubrificante e Hidratante Pélvico Dermosex - 220ml",74.8,None
DS008,Dermosex,"Desodorante Íntimo feminino Dermosex - 100ml/60 g",64.8,None
DS017,Dermosex,"Desodorante Íntimo Masculino Dermosex - 100ml/60g",69.8,None
DS012,Dermosex,"Óleo Mineral para Massagem Sensual - 145ml",59.8,9
DS020,Dermosex,"Talco íntimo Dermosex - 100g",56.8,9
DS003,Dermosex,"Tônico Purificante para Região Pélvica Dermosex - 120ml",69.8,9
IA424,Dermosex Mature (My Series),"Vibrador e Estimulador  Sugador Recarregável My Moment",349.0,10
IA449,Dermosex Mature (My Series),"Estimulador de Clitóris Sugador Recarregável My Touch",329.0,10
AS346,Natural Sex,"Sabonete Íntimo em Barra Natural Sex - 90g",21.8,11
AS347,Natural Sex,"Sabonete Íntimo Líquido Natural Sex - 250ml",52.8,11
BS003,Biosex,"Argila Verde para Região Pélvica Biosex - 40g",29.8,11
BS005,Biosex,"Blend de Óleos p/ Massagem Sensual Biosex - 145ml",49.8,11
BS001,Biosex,"Sabonete Íntimo Líquido de Coco Biosex - 220ml",54.8,11
BS002,Biosex,"Gel Lubrificante pra Região Pélvica Biosex - 220ml",54.8,11
LV015,Olove,"Vela Hidratante Beijável Olove Chocolate - 70g",69.8,11
LV016,Olove,"Vela Hidratante Beijável Olove Morango - 70g",69.8,11
LV024,Olove,"Mousse beijável para massagem corporal Olove Milkshake - 50ml",59.8,11
LV014,Olove,"Gel Excitante Beijável Olove Grego - 15g",49.8,11
LV025,Olove,"",69.8,11
LV012,Olove,"Hidratante Sensual Beijável Olove Pink Jelly Chiclete - 250g",69.8,18
LV013,Olove,"Hidratante Sensual Beijável Olove Purple Jelly Amora 250g",69.8,18
LV017,Olove,"Óleo Beijável Olove Sentidos Chiclete - 30ml",24.0,18
LV019,Olove,"Óleo Beijável Olove Sentidos Morango - 30ml",24.0,18
LV020,Olove,"Óleo Beijável OLove Sentidos Algodão Doce - 30ml",24.0,18
LV018,Olove,"Óleo Beijável Olove Sentidos Menta Ice- 30ml",24.0,19
LV021,Olove,"Óleo Beijável Olove Sentidos Mel",24.0,19
LV022,Olove,"Gel Excitante Beijável Loveshock Morango Olove- 15 g",49.8,19
